BOOK,CHAPTER,SECTION,AGENT.EXPONENCE,AGENT.PP,ASPECT,AGENT.NOMINALITY,SUBJECT.ANIMACY,PARTICIPLE,AGENT.STATUS,PERFECTIVE,LEMMA
1,1,0,DAT,NA,PERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἀποδείκνυμι
1,1,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ἐξεμπολάω
1,7,4,PP,PARA,PERFECTIVE,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,PERFECTIVE,ἐπιτρέφω
1,8,4,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἐξευρίσκω
1,9,1,PP,HYPO,PERFECTIVE,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,PERFECTIVE,ὁράω
1,10,2,PP,EK,PERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ποιέω
1,11,4,PP,HYPO,IMPERFECTIVE,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,ἀπόλλυμι
1,14,3,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,καλέω
1,14,3,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,καλέω
1,16,2,PP,APO,PERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,κτίζω
1,18,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,δηλόω
1,19,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἐμπίμπρημι
1,26,2,PP,HYPO,IMPERFECTIVE,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,πολιορκέω
1,30,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ξενίζω
1,31,2,DAT,NA,PERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,κομίζω
1,31,2,DAT,NA,IMPERFECTIVE,PRONOUN,ANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ὀχέω
