book,chapter,section,agent.phrase,agent.pp,perfect,agent.nominality,subject.animacy,participle,agent.realization,lemma
1,1,0,DAT,NA,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,ἀποδείκνυμι
1,1,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,PARTICIPLE,ENCLITIC.PRO,ἐξεμπολάω
1,7,4,PP,PARA,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,ἐπιτρέφω
1,8,4,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐξευρίσκω
1,9,1,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,ὁράω
1,10,2,PP,EK,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,ποιέω
1,11,4,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,ἀπόλλυμι
1,14,3,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,καλέω
1,14,3,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,καλέω
1,16,2,PP,APO,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,κτίζω
1,18,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,δηλόω
1,19,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐμπίμπρημι
1,26,2,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,πολιορκέω
1,30,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ξενίζω
1,31,2,DAT,NA,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,κομίζω
1,31,2,DAT,NA,NON.PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ὀχέω
1,31,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ὁράω
1,32,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ἀπορρίπτω
1,35,3,PP,HYPO,PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐξελαύνω
1,35,3,PP,HYPO,PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,στερέω
1,40,1,PP,HYPO,PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,νικάω
1,46,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,καθαιρέω
1,47,2,PP,PROS,NON.PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,λέγω
1,51,2,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἐπικίρνημι
1,59,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,κατέχω
1,59,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,διασπάω
1,61,4,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,ἐξαρτύω
1,63,2,PP,HYPO,PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,ἐντέλλω
1,67,2,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἡσσάομαι
1,68,6,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,καταστρέφω
1,70,3,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ἀφαιρέω
1,72,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,ὀνομάζω
1,77,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,ποιέω
1,80,6,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,πολιορκέω
1,86,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,λέγω
1,87,1,PP,HYPO,NON.PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,λέγω
1,87,1,PP,EK,NON.PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,δωρέω
1,91,6,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,ἄρχω
1,94,7,PP,HYPO,PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,δουλόω
1,98,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,προβάλλω
1,98,1,PP,HYPO,NON.PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,αἰνέω
1,99,1,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,ὁράω
1,100,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,κοσμέω
1,103,2,PP,HYPO,NON.PERFECT,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,ἄρχω
1,112,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,βουλεύω
1,114,3,PP,EK,NON.PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,προστάσσω
